timestamp,symbol,side,price,qty,fee,pnl,order_type
2025-10-12T06:35:00Z,BTC/USDT,buy,61215.50,0.082,4.10,0.00,market
2025-10-12T06:36:00Z,BTC/USDT,buy,61190.00,0.041,2.05,0.00,limit
2025-10-13T00:55:00Z,BTC/USDT,sell,63480.00,0.123,6.35,281.47,limit
2025-10-18T09:20:00Z,ETH/USDT,sell,2428.50,1.240,2.49,0.00,market
2025-10-18T09:21:00Z,ETH/USDT,sell,2431.00,0.620,1.24,0.00,limit
2025-10-20T14:10:00Z,ETH/USDT,buy,2281.00,1.860,3.73,-285.12,limit
2025-11-02T14:05:00Z,SOL/USDT,buy,172.40,23.200,3.31,0.00,market
2025-11-04T11:30:00Z,SOL/USDT,sell,185.20,23.200,3.53,296.64,limit
2025-11-22T07:10:00Z,BTC/USDT,buy,64810.00,0.093,4.97,0.00,market
2025-11-22T07:11:00Z,BTC/USDT,buy,64780.00,0.046,2.46,0.00,limit
2025-11-25T09:45:00Z,BTC/USDT,sell,68490.00,0.139,7.84,508.91,limit
